cod_curso,nome_do_curso,carga_horaria_do_curso,eixo_tecnologico,fator_de_esforco_de_curso,tipo_de_curso,turno,codigo_da_matricula,codigo_do_ciclo_matricula,codigo_sistec,categoria_de_situacao,data_de_inicio_do_ciclo,data_de_fim_previsto_do_ciclo,vagas_ofertadas,mes_de_ocorrencia_da_situacao,renda,sexo,faixa_etaria,idade,cor,unidade_de_ensino
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,92150225,2645320,2809,E,26/08/2019,26/08/2024,41.0,01/01/2021,"0,5<RFP<=1,0",F,20-24,24,parda    ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,92145235,2645320,2809,E,26/08/2019,26/08/2024,41.0,01/01/2021,"0,5<RFP<=1,0",M,20-24,23,branca   ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,92145125,2645320,2809,E,26/08/2019,26/08/2024,41.0,01/01/2021,"RFP>3,5",M,20-24,21,parda    ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,92145099,2645320,2809,E,26/08/2019,26/08/2024,41.0,01/01/2021,"0<RFP<=0,5",M,15-19,19,branca   ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,92145117,2645320,2809,E,26/08/2019,26/08/2024,41.0,01/01/2021,"0<RFP<=0,5",M,15-19,19,branca   ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,92150227,2645320,2809,E,26/08/2019,26/08/2024,41.0,01/01/2021,"0<RFP<=0,5",M,20-24,21,parda    ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,92149156,2645320,2809,E,26/08/2019,26/08/2024,41.0,01/01/2021,"0<RFP<=0,5",F,20-24,24,preta    ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,92249514,2645320,2809,E,26/08/2019,26/08/2024,41.0,01/01/2021,"0,5<RFP<=1,0",M,30-34,30,parda    ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,92145113,2645320,2809,E,26/08/2019,26/08/2024,41.0,01/01/2021,"0,5<RFP<=1,0",M,20-24,23,parda    ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,94274449,2686837,2809,E,10/02/2020,10/02/2025,39.0,01/03/2021,"0,5<RFP<=1,0",F,25-29,28,parda    ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,94274531,2686837,2809,E,10/02/2020,10/02/2025,39.0,01/03/2021,"0<RFP<=0,5",M,20-24,22,branca   ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,94274463,2686837,2809,E,10/02/2020,10/02/2025,39.0,01/03/2021,"0,5<RFP<=1,0",M,20-24,20,parda    ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,98111823,2750319,2809,E,01/02/2021,01/02/2026,40.0,01/10/2021,"0<RFP<=0,5",F,40-44,43,parda    ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,98111811,2750319,2809,E,01/02/2021,01/02/2026,40.0,01/10/2021,"RFP>3,5",M,30-34,32,branca   ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,98111809,2750319,2809,E,01/02/2021,01/02/2026,40.0,01/10/2021,"0,5<RFP<=1,0",M,15-19,19,preta    ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,98111793,2750319,2809,E,01/02/2021,01/02/2026,40.0,01/10/2021,"RFP>3,5",M,15-19,18,branca   ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,101728673,2811537,2809,E,13/10/2021,13/10/2026,48.0,07/11/2021,"0,5<RFP<=1,0",M,15-19,18,parda    ,Campus João Pessoa
18,engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,101728655,2811537,2809,E,13/10/2021,13/10/2026,48.0,07/11/2021,"RFP>3,5",M,25-29,26,branca   ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,63629507,1972044,2809,C,19/11/2012,31/07/2015,30.0,01/01/2021,"1,0<RFP<=1,5",F,20-24,24,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,63629493,1972044,2809,E,19/11/2012,31/07/2015,30.0,01/01/2021,"0<RFP<=0,5",F,30-34,32,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,63629503,1972044,2809,E,19/11/2012,31/07/2015,30.0,01/01/2021,"0,5<RFP<=1,0",M,30-34,31,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,63629513,1972044,2809,E,19/11/2012,31/07/2015,30.0,01/01/2021,"0<RFP<=0,5",M,25-29,28,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,67741395,2039953,2809,C,19/09/2016,20/09/2019,25.0,01/08/2018,"1,0<RFP<=1,5",F,20-24,24,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,69050268,2039953,2809,E,19/09/2016,20/09/2019,25.0,01/08/2018,"0<RFP<=0,5",F,25-29,25,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,69050006,2039953,2809,E,19/09/2016,20/09/2019,25.0,01/08/2018,"0<RFP<=0,5",M,40-44,44,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,69050198,2039953,2809,E,19/09/2016,20/09/2019,25.0,01/08/2018,"0<RFP<=0,5",F,20-24,20,branca   ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,69050146,2039953,2809,E,19/09/2016,20/09/2019,25.0,01/08/2018,"0<RFP<=0,5",F,30-34,30,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,69262978,2039953,2809,E,19/09/2016,20/09/2019,25.0,01/08/2018,"0<RFP<=0,5",F,20-24,23,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,69050008,2039953,2809,E,19/09/2016,20/09/2019,25.0,01/08/2018,"1,5<RFP<=2,5",F,35-39,38,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,69263022,2039953,2809,E,19/09/2016,20/09/2019,25.0,01/08/2018,"0<RFP<=0,5",F,25-29,25,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,70149209,2039953,2809,E,19/09/2016,20/09/2019,25.0,01/08/2018,"RFP>3,5",F,25-29,29,preta    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,67741393,2039953,2809,E,19/09/2016,20/09/2019,25.0,01/08/2018,"0,5<RFP<=1,0",M,45-49,45,branca   ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,69050002,2039953,2809,E,19/09/2016,20/09/2019,25.0,01/08/2018,"0<RFP<=0,5",F,25-29,26,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,58764850,1851030,2809,C,04/11/2013,30/06/2016,25.0,03/03/2018,"1,0<RFP<=1,5",M,20-24,24,branca   ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,58764882,1851030,2809,C,04/11/2013,30/06/2016,25.0,03/03/2018,"0,5<RFP<=1,0",F,20-24,23,branca   ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,58764856,1851030,2809,E,04/11/2013,30/06/2016,25.0,03/03/2018,"0<RFP<=0,5",F,35-39,39,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,58764884,1851030,2809,E,04/11/2013,30/06/2016,25.0,03/03/2018,"0,5<RFP<=1,0",F,25-29,27,branca   ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,58764874,1851030,2809,E,04/11/2013,30/06/2016,25.0,03/03/2018,"0<RFP<=0,5",M,25-29,28,branca   ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,58764852,1851030,2809,E,04/11/2013,30/06/2016,25.0,03/03/2018,"1,0<RFP<=1,5",F,25-29,26,branca   ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,92248896,2646345,2809,E,26/08/2019,26/08/2022,32.0,01/01/2021,"1,0<RFP<=1,5",M,25-29,29,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,92248902,2646345,2809,E,26/08/2019,26/08/2022,32.0,01/01/2021,"0<RFP<=0,5",F,30-34,30,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,92248886,2646345,2809,E,26/08/2019,26/08/2022,32.0,01/01/2021,"0<RFP<=0,5",F,35-39,35,parda    ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,92249069,2646345,2809,E,26/08/2019,26/08/2022,32.0,01/01/2021,"0<RFP<=0,5",F,20-24,22,branca   ,Campus João Pessoa
151,geoprocessamento,2368,infraestrutura,1.03,tecnologia,matutino,92248908,2646345,2809,E,26/08/2019,26/08/2022,32.0,01/01/2021,"0<RFP<=0,5",M,25-29,29,branca   ,Campus João Pessoa
